parallelism,windowStep,approach,steps,expfrequency,vertexName,execDuration,readRecords,writeRecords,throughput
30,1,async,1,0, "Source: Graph Source -> Map -> Flat Map -> Assign Watermarks", 262724, 0, 0, 0.0
30,1,async,1,0, "Source: Message Source -> Deserialize MessageBlocks", 262700, 0, 0, 0.0
30,1,async,1,0, "Create Nodes (Window)", 262677, 0, 0, 0.0
30,1,async,1,0, "Graph Process -> (Serialize BlockMessages -> BlockMessage Sink: Writer -> BlockMessage Sink: Committer- Map -> Output Sink: Writer -> Output Sink: Committer- Map)", 262638, 0, 0, 0.0
30,1,async,1,0, "Latency Sink: Writer", 262613, 0, 0, 0.0
30,1,async,1,0, "Latency Sink: Committer", 262579, 0, 0, 0.0
