parallelism,windowStep,approach,steps,expfrequency,vertexName,execDuration,readRecords,writeRecords,throughput
30,1,sync,1,0, "Source: Graph Source -> Map -> Flat Map -> Assign Watermarks", 265669, 0, 0, 0.0
30,1,sync,1,0, "Source: Message Source -> (Filter PartitionsToManager Status- Deserialize MessageBlocks -> Filter MessageBlocks)", 265617, 0, 0, 0.0
30,1,sync,1,0, "Create Nodes (Window)", 265601, 0, 0, 0.0
30,1,sync,1,0, "EventTimeSessionWindows", 265569, 0, 0, 0.0
30,1,sync,1,0, "Keyed Manager", 265536, 0, 0, 0.0
30,1,sync,1,0, "Graph Process -> Process -> (BlockMessage Sink: Writer -> BlockMessage Sink: Committer- Map -> Output Sink: Writer -> Output Sink: Committer- Map)", 265499, 0, 0, 0.0
30,1,sync,1,0, "Latency Sink: Writer", 265449, 0, 0, 0.0
30,1,sync,1,0, "Latency Sink: Committer", 265408, 0, 0, 0.0
