parallelism,windowStep,approach,steps,expfrequency,vertexName,execDuration,readRecords,writeRecords,throughput
30,1,sync,50,0, "Source: Graph Source -> Map -> Flat Map -> Assign Watermarks", 263015, 0, 0, 0.0
30,1,sync,50,0, "Source: Message Source -> (Filter PartitionsToManager Status- Deserialize MessageBlocks -> Filter MessageBlocks)", 262983, 0, 0, 0.0
30,1,sync,50,0, "Create Nodes (Window)", 262959, 0, 0, 0.0
30,1,sync,50,0, "EventTimeSessionWindows", 262918, 0, 0, 0.0
30,1,sync,50,0, "Keyed Manager", 262897, 0, 0, 0.0
30,1,sync,50,0, "Graph Process -> Process -> (BlockMessage Sink: Writer -> BlockMessage Sink: Committer- Map -> Output Sink: Writer -> Output Sink: Committer- Map)", 262842, 0, 0, 0.0
30,1,sync,50,0, "Latency Sink: Writer", 262800, 0, 0, 0.0
30,1,sync,50,0, "Latency Sink: Committer", 262765, 0, 0, 0.0
