parallelism,windowStep,approach,steps,expfrequency,vertexName,execDuration,readRecords,writeRecords,throughput
30,1,async,5,0, "Source: Graph Source -> Map -> Flat Map -> Assign Watermarks", 262584, 0, 0, 0.0
30,1,async,5,0, "Source: Message Source -> Deserialize MessageBlocks", 262562, 0, 0, 0.0
30,1,async,5,0, "Create Nodes (Window)", 262549, 0, 0, 0.0
30,1,async,5,0, "Graph Process -> (Serialize BlockMessages -> BlockMessage Sink: Writer -> BlockMessage Sink: Committer- Map -> Output Sink: Writer -> Output Sink: Committer- Map)", 262526, 0, 0, 0.0
30,1,async,5,0, "Latency Sink: Writer", 262502, 0, 0, 0.0
30,1,async,5,0, "Latency Sink: Committer", 262472, 0, 0, 0.0
