parallelism,wSlide,wSize,approach,expfrequency,idleness,edges,outputDuration,outRate,rec
30,5,5,inc,0,1,8482,1049,8085.7959961868455,3783
30,5,5,inc,0,1,8667,1143,7582.677165354331,4980
30,5,5,inc,0,1,11147,2010,5545.771144278608,41901
30,5,5,inc,0,1,21639,3046,7104.070912672358,55438
30,5,5,inc,0,1,24186,3996,6052.552552552553,64388
30,5,5,inc,0,1,24186,5078,4762.898779046868,64683
